3xETF,Symbol,ClosingPrice,Volume
DirexionFinancialsBull3xETF,FAS,$71.19(+1.86%),787260
DirexionSmallCapBull3xETF,TNA,$38.98(+1.59%),6200000
DirexionEnergyBull3xETF,ERX,$49.35(+7.45%),2830000
DirexionS&P500Bull3xETF,SPXL,$74.98(+0.24%),9320000
DirexionTechnologyBull3xETF,TECL,$34.26(-1.89%),2380000
DirexionEmergingMarketsBull3xETF,EDC,$35.48(+1.14%),16740
DirexionDevelopedMarketsBull3xETF,DZK,$44.21(+0.00%),0
DirexionDailyAerospace&DefenseBull3xETF,DFEN,$15.80(+1.61%),324020
DirexionDailyBiotechBull3xETF,LABU,$8.34(+0.72%),35380000
DirexionDailyBrazilBull3xETF,BRZU,$62.65(+7.91%),83840
DirexionDailyChinaBull3xETF,YINN,$78.09(+2.23%),207660
DirexionDailyConsumerStaplesBull3xETF,LACK,$7.78(+0.00%),0
DirexionDailyConsumerDiscretionaryBull3xETF,WANT,$31.31(-2.55%),55490
DirexionDailyDowJonesInternetBull3xETF,WEBL,$9.60(-2.54%),954700
DirexionDailyFTSEEuropeBull3xETF,EURL,$17.26(+2.31%),7660
DirexionDailyGoldMinersBull3xETF,NUGT,$27.36(-6.68%),5720000
DirexionDailyHealthcareBull3xETF,CURE,$107.78(+1.45%),40010
DirexionDailyHomebuilders&SuppliesBull3xETF,NAIL,$35.60(-4.56%),425350
DirexionDailyIndiaBull2xETF,INDL,$45.96(-0.50%),5240
DirexionDailyIndustrialsBull2xETF,DUSL,$27.51(+1.40%),16190
DirexionDailyJapanBull3xETF,JPNL,$50.49(+0.00%),0
DirexionDailyJuniorGoldMinersBull3xETF,JNUG,$29.93(-1.77%),2260000
DirexionDailyLatinAmericaBull3xETF,LBJ,$60.40(+0.00%),0
DirexionDailyMexicoBull3xETF,MEXX,$68.31(+1.93%),245
DirexionDailyMidCapBull3xETF,MIDU,$37.95(+1.72%),20060
DirexionDailyRegionalBanksBull3xETF,DPST,$29.23(+4.99%),419420
DirexionDailyRealEstateBull3xETF,DRN,$15.91(+0.32%),125820
DirexionDailyRetailBull3xETF,RETL,$9.28(-3.73%),188710
DirexionDailyRobiticsAI&AutomationBull3xETF,UBOT,$14.35(-2.58%),10880
DirexionDailyRussiaBull3xETF,RUSL,$2.58(+0.00%),0
DirexionDailySemiconductorBull3xETF,SOXL,$17.30(-1.98%),42650000
DirexionDailySouthKoreaBull3xETF,KORU,$9.38(+1.41%),60370
DirexionDailyTransportationBull3xETF,TPOR,$26.77(+1.17%),6690
DirexionDailyS&POil&GasExp.Bull3xETF,GUSH,$139.36(+11.18%),1240000
DirexionDailyS&PHighBetaBull3xETF,HIBS,$9.51(+0.74%),963810
DirexionDailyUtilitiesBull3xETF,UTSL,$36.12(+3.79%),30880
Direxion10yearTreasuryBull3xETF,TYD,$38.40(-1.21%),9570
Direxion20yearTreasuryBull3xETF,TMF,$13.30(-3.20%),2790000
MicroSectorsUSBigBanksBull3xETN,BNKU,$26.83(+1.48%),72340
MicroSectorsUSBigOilBull3xETN,NRGU,$350.85(+12.15%),126640
ProSharesUltraProS&P500Bull3xETF,UPRO,$39.84(+0.25%),6150000
ProSharesUltraProNasdaq-100Bull3xETF,TQQQ,$29.09(-1.49%),109170000
ProSharesUltraProDJIABull3xETF,UDOW,$54.50(+0.81%),2120000
ProSharesUltraProS&PMidcap400Bull3xETF,UMDD,$19.09(+1.92%),34930
ProSharesUltraProRussell2000Bull3xETF,URTY,$46.48(+1.60%),338530
VelocitySharesGoldBull3xETN,UGLD,$0.00(+0.00%),0
VelocitySharesSilverBull3xETN,USLV,$0.00(+0.00%),0
